order_number,date,price,quantity,product_id,SKU,canceled,"""-S""","""-M""",-L,-XL,-XXL,TEM,TEH,TAM,TAH,CAA,CAS,HOP,HOZ,SHT,SHF,SHR,SHC,COT,COP,TEK,TAK,TEI,TAI,ACC,POL,CAP,JOG,POL,TAP,,Types ,,,,,,,,,
P046785,3/09/2017,71.81,1.00,60,MS255-SHT-NA-S,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS250-SHT-BK-XXL,,,,,,,
P046785,3/09/2017,71.81,1.00,61,MS250-SHT-BK-XXL,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS135-TAK-BK-S,,,,,,,
P046785,3/09/2017,53.63,1.00,62,MS135-TAK-BK-S,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS135-TAK-BK-M,,,,,,,
P046785,3/09/2017,53.63,1.00,63,MS135-TAK-BK-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS135-TAK-BK-L,,,,,,,
RTS013231,2/08/2017,53.63,1,64,MS231-TAK-BK-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS135-TAK-BK-XL,,,,,,,
RTS013231,4/08/2017,71.81,1,65,MS145-SHR-GY-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS135-TAK-BK-XXL,,,,,,,
RTS013231,10/07/2017,53.63,1,66,MS135-TAK-BK-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS201-TEK-WH-XXL,,,,,,,
RTS013231,29/07/2017,99.09,1,67,MS275-HOZ-BN-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS210-TEK-BK-S,,,,,,,
RTS013584,7/08/2017,53.63,1,68,MS247-TAK-WH-XL,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS210-TEK-BK-M,,,,,,,
P046235,7/08/2017,90.00,1.00,69,MS270-HOZ-GY-S,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS210-TEK-BK-L,,,,,,,
